Id,Title,Content,Date,Season,Weather,Mood,NpcId,EventType,Tags,Reward
married_memory_1,我们的小窝,今天和{spouse}一起布置了新家，每一处都充满了我们的回忆。春,Spring,Sunny,Blissful,{spouse_id},move_in,home;spouse;blissful,relationship_exp:50
married_memory_2,第一个清晨,睁开眼就能看到{spouse}的笑容，这是世界上最幸福的事。春,Spring,Cloudy,Content,{spouse_id},daily,spouse;happiness,stamina_max:10
married_memory_3,并肩劳作,和{spouse}一起在田间劳作，虽然辛苦但心里很甜。夏,Summer,Sunny,Productive,{spouse_id},work,spouse;work;harvest,harvest_bonus:10
married_memory_4,雨中漫步,和{spouse}在雨中漫步，雨滴打在脸上却感觉格外浪漫。夏,Summer,Rainy,Romantic,{spouse_id},date,spouse;rain;romance,relationship_exp:30
married_memory_5,节日庆典,和{spouse}一起参加了山庄的庆典，看着她开心的样子很满足。夏,Summer,Cloudy,Festive,{spouse_id},festival,spouse;festival;celebration,joy_bonus:20
married_memory_6,秋日私语,秋风吹过，和{spouse}坐在枫树下聊了很久。秋,Autumn,Clear,Nostalgic,{spouse_id},date,spouse;autumn;memories,relationship_exp:40
married_memory_7,丰收集市,和{spouse}一起去集市卖了今年的收成，收获满满。秋,Autumn,Sunny,Excited,{spouse_id},work,spouse;trade;harvest,gold:500
married_memory_8,共度风雨,那天风雨交加，但有{spouse}在身边，什么都不怕。冬,Winter,Storm,Secure,{spouse_id},support,spouse;storm;security,debuff_resist:10
married_memory_9,温泉之夜,和{spouse}在温泉中谈心，夜风轻拂，岁月静好。冬,Winter,Snow,Peaceful,{spouse_id},date,spouse;hot_spring;peace,stamina_recovery:30
married_memory_10,周年纪念,结婚周年那天，{spouse}准备了一份特别的惊喜，我很感动。Any,Any,Any,Blissful,{spouse_id},anniversary,spouse;anniversary;love,relationship_exp:100
married_memory_11,远方来客,有客人来访，{spouse}热情招待，看着她忙前忙后的身影很心疼。Any,Any,Any,Warm,{spouse_id},social,spouse;hospitality,reputation:20
married_memory_12,夜读时光,和{spouse}一起夜读，她靠在我肩上的样子很温馨。Any,Any,Any,Content,{spouse_id},daily,spouse;study;intimacy,study_exp:20
married_memory_13,星空下的承诺,在星空下，{spouse}说会一直陪着我。我也是。秋,Autumn,Clear,Devoted,{spouse_id},date,spouse;star;promise,relationship_exp:60
married_memory_14,病中关怀,生病时{spouse}寸步不离地照顾，让我体会到什么是真正的爱。冬,Winter,Cloudy,Touched,{spouse_id},support,spouse;care;illness,health_recovery:50
married_memory_15,烹饪时光,和{spouse}一起在厨房忙碌，虽然手忙脚乱但很开心。Any,Any,Any,Playful,{spouse_id},daily,spouse;cooking;fun,cooking_exp:15
married_memory_16,午后小憩,和{spouse}在树下打盹，阳光透过树叶洒在身上。Any,Any,Any,Peaceful,{spouse_id},daily,spouse;rest;peace,stamina:30
married_memory_17,星空观测,和{spouse}一起用望远镜观星，她兴奋地指着各种星座。秋,Autumn,Clear,Excited,{spouse_id},hobby,spouse;astronomy;wonder,celestial_exp:25
married_memory_18,茶道修行,和{spouse}一起品茶论道，岁月在茶香中慢慢流逝。Any,Any,Any,Transcendental,{spouse_id},hobby,spouse;tea;wisdom,tea_exp:30
married_memory_19,花园漫步,和{spouse}在花园里散步，她对每一朵花都如数家珍。春,Spring,Sunny,Grateful,{spouse_id},daily,spouse;garden;beauty,relationship_exp:35
married_memory_20,深夜长谈,深夜和{spouse}聊了很多，关于过去，关于未来。Any,Any,Any,Intimate,{spouse_id},daily,spouse;talk;understanding,relationship_exp:45
married_memory_21,默契配合,今天和{spouse}配合着完成了一件事，一个眼神就知道对方要什么。Any,Any,Any,Proud,{spouse_id},work,spouse;teamwork;默契,work_efficiency:20
married_memory_22,噩梦惊醒,半夜惊醒，{spouse}温柔地安慰我，让我安心下来。冬,Winter,Any,Tender,{spouse_id},support,spouse;care;night,relationship_exp:40
married_memory_23,意外惊喜,{spouse}悄悄为我准备了礼物，看着她期待的眼神我很幸福。Any,Any,Any,Surprised,{spouse_id},gift,spouse;gift;happiness,relationship_exp:50
married_memory_24,灵兽互动,看到{spouse}和我们的灵兽玩耍，觉得这就是家的感觉。Any,Any,Any,Touched,{spouse_id},daily,spouse;pet;family,pet_happiness:30
married_memory_25,相濡以沫,遇到困难时，{spouse}总是第一个站在我身边，有你在真好。Any,Any,Any,Grateful,{spouse_id},support,spouse;support;困境,relationship_exp:60
