Id,NpcId,TemplateType,Subject,Body,Season,Weather,DayOfWeek,Priority
tpl_acha_daily_1,acha,DailyShop,今日茶推荐,亲爱的$[PLAYER_NAME]：

今日推荐：初雾绿茶
大潮日最适合采摘，错过等一年哦。

——阿茶,any,any,any,High
tpl_acha_daily_2,acha,DailyShop,今日茶推荐,亲爱的$[PLAYER_NAME]：

今日推荐：晨露白茶
雨后的茶叶格外清香。

——阿茶,any,any,any,Medium
tpl_lin_care,lin,WeeklyGift,这周的草药,$[PLAYER_NAME]：

老头子采了些好药材，你用得上就拿去。

——老槐,any,any,Saturday,High
tpl_lin_story,lin,WeeklyGift,老故事,$[PLAYER_NAME]：

想起以前的事，写下来给你看看。

——老槐,any,any,any,Medium
tpl_song_trend,song,Promotion,本周市场趋势,$[PLAYER_NAME]：

本周灵茶价格上扬，有货的抓紧卖！

——松年,any,any,any,High
tpl_song_season,song,SeasonChange,季节提醒,$[PLAYER_NAME]：

[SEASON]到了，新种子已到货。

——松年,any,any,any,High
tpl_xiaoman_beast,xiaoman,PetNews,灵兽近况,$[PLAYER_NAME]：

云狐又调皮了，它很想你哦！

——小满,any,any,any,Medium
tpl_xiaoman_festival,xiaoman,SpecialOffer,节日活动,$[PLAYER_NAME]：

[SEASON][DAY]有灵兽大赛，来参加吧！

——小满,any,any,any,High
tpl_wanxing_cloud,wanxing,CloudForecast,云海预报,$[PLAYER_NAME]：

明日云海：[WEATHER]
适合的活动：茶采/采集

——晚星,any,any,any,High
tpl_wanxing_tide,wanxing,CloudTide,大潮预警,$[PLAYER_NAME]：

大潮将至！[DAYS]日后
这是百年难遇的时刻……

——晚星,any,any,any,High
tpl_yu_cloud,yu,CloudForecast,晨雾之礼,$[PLAYER_NAME]：

今日薄雾，最宜品茶。
送你一瓶晨露。

——雾川,any,Mist,any,Medium
tpl_yu_stargaze,yu,SpecialOffer,观星邀请,$[PLAYER_NAME]：

[DAY]夜有流星，想一起看吗？

——雾川,any,Clear,Night,High
tpl_he_nature,he,AdventureInvite,山间探险,$[PLAYER_NAME]：

山中发现新景，同去否？

——秋棠,any,Mist|CloudDense,any,High
tpl_he_wisdom,he,WisdomSharing,人生感悟,$[PLAYER_NAME]：

行到水穷处，坐看云起时。

——秋棠,any,any,any,Low
tpl_qiao_craft,qiao,FestivalInvite,绣品展销,$[PLAYER_NAME]：

新绣了一幅云海图，来看看？

——锦时,any,any,any,Medium
tpl_qiao_season,qiao,SeasonChange,季节绣品,$[PLAYER_NAME]：

[SEASON]主题绣品上架了。

——锦时,any,any,any,Medium
tpl_ning_garden,ning,GardenEvent,花园更新,$[PLAYER_NAME]：

花园里开了新品种，来看看？

——宁,spring|summer,any,any,Medium
tpl_ning_flower,ning,FlowerFestival,花朝节,$[PLAYER_NAME]：

花朝节快到了！一起来赏花吧。

——宁,spring,any,any,High
tpl_an_wisdom,an,WisdomSharing,每日一悟,$[PLAYER_NAME]：

平衡，是人生最美的状态。

——阿巳,any,any,any,Low
tpl_an_balance,an,Alert,生态提醒,$[PLAYER_NAME]：

庄园[ECOLOGY_STATE]，需注意。

——阿巳,any,any,any,High
tpl_mo_inspiration,mo,ArtDiscount,创意灵感,$[PLAYER_NAME]：

灵感来了，送你一瓶墨水。

——墨,any,Night,any,Medium
tpl_mo_dream,mo,ArtGalleryEvent,画展邀请,$[PLAYER_NAME]：

我的新画完成了，想给你看看。

——墨,any,any,any,High
tpl_yan_wisdom,yan,WisdomQuote,道法日悟,$[PLAYER_NAME]：

上善若水，水善利万物而不争。

——玄清,any,any,any,Medium
tpl_yan_tao,yan,MeditationEvent,修行邀请,$[PLAYER_NAME]：

[DAY]有修行讲堂，一起来？

——玄清,any,any,any,High
tpl_yan_season,yan,SeasonChange,季节修行,$[PLAYER_NAME]：

[SEASON]宜静心修行。

——玄清,any,any,any,Medium
tpl_shu_research,shu,SpecialOffer,研究新知,$[PLAYER_NAME]：

发现了一些有趣的东西。

——素锦,any,any,any,Medium
tpl_shu_star,shu,ResearchDiscovery,星象发现,$[PLAYER_NAME]：

[DAY]夜有特殊天象，来观测？

——素锦,any,any,Night,High
tpl_acha_ceremony,acha,TeaCeremony,茶会邀请,亲爱的$[PLAYER_NAME]：

浓云海日，来茶室一起品茶吧。

——阿茶,any,CloudDense|Tide,any,High
tpl_wanxing_dream,wanxing,CloudDream,梦境之约,$[PLAYER_NAME]：

大潮之夜，梦里见。

——晚星,any,Tide,any,High
tpl_lin_adventure,lin,AdventureInvite,狩猎邀请,$[PLAYER_NAME]：

后山有动静，一同去看看？

——老槐,any,CloudDense|Tide,any,High
tpl_xiaoman_contest,xiaoman,SpecialOffer,灵兽大赛,$[PLAYER_NAME]：

夏季灵兽大赛即将开始！

