# Buff效果数据表
# 字段说明：
# id: Buff效果唯一标识符
# name: 中文名称
# duration_seconds: 持续时间（秒）
# description: 效果描述
# stamina_recovery_multiplier: 体力恢复倍率
# stamina_cost_multiplier: 体力消耗倍率
# work_efficiency_bonus: 工作效率加成
# trade_price_bonus: 交易价格加成
# favor_gain_bonus: 好感度获取加成
# spirit_rate_bonus: 灵气获取加成
# craft_success_bonus: 制作成功率加成
# insight_trigger_bonus: 灵感触发加成
# skill_mastery_bonus: 技能熟练度加成
# defense_bonus: 防御力加成
# move_speed_bonus: 移动速度加成
# color_hex: Buff显示颜色

# ============================================================================
# 小型Buff（入门级灵茶）
# ============================================================================
buff_focus_small,清心,1800,专注力提升，工作学习效率+15%,1.0,1.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4A90D9
buff_stamina_small,养气,2700,体力消耗降低20%,1.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,7CB342
buff_trade_bonus,通商,3600,商业直觉增强，交易价格+20%,1.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FFA726
buff_mood_soft,悦心,3600,心情愉悦，好感度获取+25%,1.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,EC407A
buff_agility_small,轻身,1800,身体轻盈，移动速度+10%,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,26C6DA
buff_defense_small,护体,3600,身体护盾，受到伤害-10%,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,78909C
buff_creativity,灵感,7200,灵感迸发，制作成功率+15%,1.0,1.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,AB47BC

# ============================================================================
# 中型Buff（高级灵茶）
# ============================================================================
buff_defense_mid,金钟,7200,防御增强，受到伤害-20%,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,546E7A
buff_focus_mid,入定,5400,专注入定，工作学习效率+30%,1.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3F51B5
buff_spirit_rate,灵聚,7200,灵气汇聚，灵气获取+30%,1.0,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,00BCD4

# ============================================================================
# 大型Buff（传说灵茶）
# ============================================================================
buff_dream_creative,梦创,10800,梦入化境，制作成功率+25%，灵感触发+50%,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,7E57C2
buff_spirit_rate_legendary,灵潮,10800,灵气如潮，灵气获取+50%,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,00838F
buff_mastery,通玄,14400,技艺通玄，所有技能熟练度+50%,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,6A1B9A
